alias_text,lang,matched_canonical,confidence,notes
rökt tofu,sv,smoked tofu,0.6,low confidence
sojamjölk,sv,soy milk,0.5882352941176471,low confidence
1755632782,sugar,sugar,,,0,NOMATCH,none,
1755632782,sugar,sugar,,,0,NOMATCH,none,
1755632783,corn starch,corn starch,,,0,NOMATCH,none,
1755632783,corn starch,corn starch,,,0,NOMATCH,none,
1755632784,corn starch,corn starch,,,0,NOMATCH,none,
1755632784,corn starch,corn starch,,,0,NOMATCH,none,
1755632785,baking soda,baking soda,,,0,NOMATCH,none,
1755632785,baking soda,baking soda,,,0,NOMATCH,none,
1755632786,baking soda,baking soda,,,0,NOMATCH,none,
1755632786,baking soda,baking soda,,,0,NOMATCH,none,
1755632787,black pepper powder,black pepper powder,,,0,NOMATCH,none,
1755632787,black pepper powder,black pepper powder,,,0,NOMATCH,none,
1755632788,black pepper powder,black pepper powder,,,0,NOMATCH,none,
1755632788,black pepper powder,black pepper powder,,,0,NOMATCH,none,
1755632789,water,water,,,0,NOMATCH,none,
1755632789,water,water,,,0,NOMATCH,none,
1755632789,oil,oil,,,0,NOMATCH,none,
1755632789,oil,oil,,,0,NOMATCH,none,
1755632791,water,water,,,0,NOMATCH,none,
1755632791,water,water,,,0,NOMATCH,none,
1755632791,oil,oil,,,0,NOMATCH,none,
1755632791,oil,oil,,,0,NOMATCH,none,
1755632792,sesame oil,sesame oil,,,0,NOMATCH,none,
1755632792,sesame oil,sesame oil,,,0,NOMATCH,none,
1755632793,sesame oil,sesame oil,,,0,NOMATCH,none,
1755632793,sesame oil,sesame oil,,,0,NOMATCH,none,
1755632794,rice wine,rice wine,,,0,NOMATCH,none,
1755632794,rice wine,rice wine,,,0,NOMATCH,none,
1755632795,rice wine,rice wine,,,0,NOMATCH,none,
1755632795,rice wine,rice wine,,,0,NOMATCH,none,
1755632796,dark soy sauce,dark soy sauce,,,0,NOMATCH,none,
1755632796,dark soy sauce,dark soy sauce,,,0,NOMATCH,none,
1755632797,dark soy sauce,dark soy sauce,,,0,NOMATCH,none,
1755632797,dark soy sauce,dark soy sauce,,,0,NOMATCH,none,
1755632798,oyster sauce,oyster sauce,,,0,NOMATCH,none,
1755632798,oyster sauce,oyster sauce,,,0,NOMATCH,none,
1755632800,oyster sauce,oyster sauce,,,0,NOMATCH,none,
1755632800,oyster sauce,oyster sauce,,,0,NOMATCH,none,
1755632800,soy sauce,soy sauce,,,0,NOMATCH,none,
1755632800,soy sauce,soy sauce,,,0,NOMATCH,none,
1755632802,sugar,sugar,,,0,NOMATCH,none,
1755632802,sugar,sugar,,,0,NOMATCH,none,
1755632802,soy sauce,soy sauce,,,0,NOMATCH,none,
1755632802,soy sauce,soy sauce,,,0,NOMATCH,none,
1755632803,sugar,sugar,,,0,NOMATCH,none,
1755632803,sugar,sugar,,,0,NOMATCH,none,
1755632804,water,water,,,0,NOMATCH,none,
1755632804,water,water,,,0,NOMATCH,none,
1755632804,black pepper,black pepper,,,0,NOMATCH,none,
1755632804,black pepper,black pepper,,,0,NOMATCH,none,
1755632805,water,water,,,0,NOMATCH,none,
1755632805,water,water,,,0,NOMATCH,none,
1755632805,black pepper,black pepper,,,0,NOMATCH,none,
1755632805,black pepper,black pepper,,,0,NOMATCH,none,
1755633755,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633755,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633787,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633787,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633817,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633817,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633818,flingsalt,flingsalt,Table salt,5343,0.8,LOW,alias,
1755633821,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633821,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633822,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633822,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633822,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633822,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633823,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755633823,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755633824,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755633824,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755633824,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755633824,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755633825,lime,lime,,,0,NOMATCH,none,
1755633825,lime,lime,,,0,NOMATCH,none,
1755633826,lime,lime,,,0,NOMATCH,none,
1755633826,lime,lime,,,0,NOMATCH,none,
1755633826,lime,lime,,,0,NOMATCH,none,
1755633826,lime,lime,,,0,NOMATCH,none,
1755633827,hjärtsalladshuvuden,hjärtsalladshuvuden,,,0,NOMATCH,none,
1755633827,hjärtsalladshuvuden,hjärtsalladshuvuden,,,0,NOMATCH,none,
1755633828,hjärtsalladshuvuden,hjärtsalladshuvuden,,,0,NOMATCH,none,
1755633828,hjärtsalladshuvuden,hjärtsalladshuvuden,,,0,NOMATCH,none,
1755633829,hjärtsalladshuvuden,hjärtsalladshuvuden,,,0,NOMATCH,none,
1755633829,hjärtsalladshuvuden,hjärtsalladshuvuden,,,0,NOMATCH,none,
1755633831,grovmalen svartpeppar,grovmalen svartpeppar,black pepper,12,0.8,LOW,alias,
1755633926,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633926,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633959,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633959,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633991,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633991,"flapsteak, flankstek, entrecôte eller mörad högrev","flapsteak, flankstek, entrecôte eller mörad högrev",,,0,NOMATCH,none,
1755633996,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633996,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633996,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633996,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633996,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755633996,rumsvarmt smör,rumsvarmt smör,,,0,NOMATCH,none,
1755634000,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755634000,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755634000,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755634000,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755634000,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755634000,"röd chili, skivad","röd chili, skivad",,,0,NOMATCH,none,
1755634011,lime,lime,,,0,NOMATCH,none,
1755634011,lime,lime,,,0,NOMATCH,none,
1755634011,lime,lime,,,0,NOMATCH,none,
1755634011,lime,lime,,,0,NOMATCH,none,
1755634013,lime,lime,,,0,NOMATCH,none,
1755634013,lime,lime,,,0,NOMATCH,none,
